client_number,customer_age,gender,dependents,education_level,marital_status,state,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income_of_customer,customer_satisfaction_score
C100001,35,Female,4,Doctorate,Widow,Jeddah,11352,No,Yes,No,Unknown,Private Employee,48013,2
C100002,65,Female,3,Doctorate,Divorced,Jeddah,22488,Yes,Yes,No,Cellular,Private Employee,26219,5
C100003,62,Male,0,High School,Widow,Mecca,61733,No,Yes,Yes,Unknown,Self-employed,20058,2
C100004,52,Female,2,Graduated,Married,Jeddah,51591,No,Yes,No,Cellular,Government Employee,5894,2
C100005,51,Female,2,Graduated,Divorced,Mecca,90338,No,No,No,Cellular,Government Employee,35196,2
C100006,55,Female,0,Uneducated,Married,Riyadh,40128,Yes,Yes,No,Telephone,Self-employed,49265,4
C100007,47,Male,3,Unknown,Widow,Tabuk,83512,No,No,No,Cellular,Unemployed,12702,1
C100008,42,Male,1,High School,Married,Dammam,76681,No,Yes,Yes,Unknown,Unemployed,40407,2
C100009,46,Male,1,Graduated,Single,Tabuk,13402,No,Yes,No,Telephone,Student,9951,3
C100010,29,Male,0,Graduated,Widow,Jazan,92359,No,Yes,No,Cellular,Freelancer,43787,4
C100011,40,Male,1,Unknown,Divorced,Tabuk,17279,Yes,No,Yes,Telephone,Government Employee,14666,2
C100012,45,Male,0,Uneducated,Married,Taif,62742,No,Yes,Yes,Telephone,Private Employee,31335,3
C100013,63,Male,2,Doctorate,Single,Tabuk,77194,Yes,No,No,Telephone,Private Employee,20595,5
C100014,58,Female,0,Graduated,Divorced,Dammam,66899,No,Yes,Yes,Unknown,Government Employee,33377,2
C100015,61,Male,3,Post-Graduate,Single,Mecca,71370,No,Yes,No,Telephone,Self-employed,11374,3
C100016,35,Female,2,Post-Graduate,Single,Abha,20031,Yes,Yes,No,Telephone,Businessman,33451,5
C100017,36,Female,2,Post-Graduate,Single,Abha,12132,Yes,No,Yes,Cellular,Unemployed,28752,1
C100018,25,Female,2,High School,Widow,Jazan,91764,No,No,Yes,Cellular,Self-employed,8126,5
C100019,36,Male,3,Post-Graduate,Single,Riyadh,61764,Yes,Yes,Yes,Unknown,Private Employee,33157,4
C100020,62,Female,2,Post-Graduate,Divorced,Taif,49669,Yes,Yes,Yes,Cellular,Self-employed,10334,1
C100021,64,Male,0,Uneducated,Widow,Dammam,95162,Yes,No,Yes,Cellular,Government Employee,33371,2
C100022,50,Female,0,Unknown,Married,Dammam,68361,No,No,Yes,Telephone,Student,18900,2
C100023,38,Female,0,High School,Single,Jeddah,92629,No,No,No,Unknown,Student,42048,5
C100024,38,Male,3,Graduated,Widow,Abha,87468,No,Yes,Yes,Unknown,Businessman,30656,5
C100025,40,Male,2,Doctorate,Widow,Jazan,25327,No,No,No,Unknown,Private Employee,4363,2
C100026,38,Male,3,High School,Widow,Medina,76536,Yes,No,No,Cellular,Government Employee,49621,4
C100027,46,Female,3,Uneducated,Married,Mecca,21297,No,Yes,Yes,Cellular,Self-employed,42698,4
C100028,26,Female,3,High School,Married,Medina,82984,Yes,Yes,No,Telephone,Government Employee,47363,2
C100029,31,Male,0,High School,Widow,Jeddah,90945,Yes,Yes,Yes,Telephone,Government Employee,25303,3
C100030,22,Female,1,Doctorate,Single,Riyadh,67386,No,Yes,Yes,Unknown,Student,9676,5
C100031,22,Male,1,Doctorate,Single,Medina,57400,Yes,No,No,Unknown,Private Employee,9507,2
C100032,61,Female,2,Uneducated,Single,Medina,67554,No,Yes,Yes,Telephone,Government Employee,21792,5
C100033,30,Male,2,High School,Widow,Tabuk,92502,Yes,Yes,No,Cellular,Self-employed,31103,4
C100034,46,Female,4,Doctorate,Divorced,Riyadh,68009,Yes,Yes,Yes,Cellular,Government Employee,23631,4
C100035,30,Female,0,Graduated,Single,Dammam,85308,Yes,No,No,Telephone,Freelancer,48926,5
C100036,39,Female,2,Unknown,Divorced,Abha,90006,Yes,No,No,Unknown,Self-employed,38679,5
C100037,59,Female,2,Doctorate,Widow,Medina,49522,Yes,Yes,No,Telephone,Freelancer,11257,5
C100038,54,Female,1,Unknown,Divorced,Abha,54657,Yes,Yes,Yes,Unknown,Student,19953,2
C100039,39,Female,4,Unknown,Single,Tabuk,44046,No,Yes,Yes,Unknown,Businessman,32408,3
C100040,56,Male,3,High School,Married,Abha,88059,Yes,No,No,Telephone,Freelancer,49848,5
C100041,63,Male,3,Post-Graduate,Married,Jeddah,52971,Yes,No,No,Cellular,Self-employed,49638,4
C100042,46,Male,0,Unknown,Widow,Dammam,72423,Yes,No,Yes,Telephone,Freelancer,37488,4
C100043,57,Female,2,Post-Graduate,Widow,Taif,67682,No,No,Yes,Cellular,Student,11331,4
C100044,65,Female,1,Doctorate,Single,Medina,69694,No,Yes,Yes,Unknown,Government Employee,10783,5
C100045,46,Male,0,High School,Divorced,Riyadh,78521,Yes,Yes,No,Telephone,Government Employee,22874,3
C100046,51,Male,1,Uneducated,Widow,Riyadh,49998,No,Yes,Yes,Unknown,Private Employee,3136,1
C100047,55,Female,0,Unknown,Widow,Jazan,85112,No,No,No,Telephone,Private Employee,42695,2
C100048,28,Female,3,Doctorate,Widow,Dammam,52626,Yes,No,No,Cellular,Private Employee,25216,5
C100049,22,Female,2,Doctorate,Single,Dammam,13251,No,Yes,Yes,Cellular,Student,38509,5
C100050,23,Male,3,Post-Graduate,Single,Jeddah,96278,Yes,Yes,No,Cellular,Self-employed,49243,5
C100051,48,Male,4,Post-Graduate,Divorced,Taif,87187,Yes,No,Yes,Telephone,Private Employee,14829,4
C100052,21,Female,3,High School,Single,Jeddah,23019,Yes,No,Yes,Cellular,Government Employee,8873,2
C100053,39,Female,1,Unknown,Divorced,Dammam,13561,Yes,No,No,Cellular,Government Employee,12336,4
